model,term,estimate,std.error,statistic,df,p.value,
gpt5.1,(Intercept),12.15493927,0.189104462,6.43E+01,1.16E+02,2.69E-92,***
gpt5.1,occlusion1,-1.213272607,0.189104462,-6.415885666,115.5661816,3.19E-09,***
gpt5.1,distractor1,-1.183302141,0.189104462,-6.257399371,115.5661816,6.85E-09,***
gpt5.1,reasoning1,-2.417948347,0.10449752,-23.13881092,2246.696416,2.02E-106,***
gpt5.1,reasoning2,0.217896413,0.105205443,2.071151524,2247.095407,0.038458541,*
gpt5.1,reasoning3,1.160932829,0.104502313,11.10915917,2246.764347,5.97E-28,***
gpt5.1,occlusion1:distractor1,0.393302141,0.189104462,2.079814179,115.5661816,0.039753808,*
gpt5.1,occlusion1:reasoning1,0.799615014,0.10449752,7.65199994,2246.696416,2.92E-14,***
gpt5.1,occlusion1:reasoning2,-0.212896413,0.105205443,-2.023625466,2247.095407,0.043126846,*
gpt5.1,occlusion1:reasoning3,-0.379266162,0.104502313,-3.629260935,2246.764347,0.000290581,***
gpt5.1,distractor1:reasoning1,0.466311215,0.10449752,4.462414194,2246.696416,8.50E-06,***
gpt5.1,distractor1:reasoning2,-0.085352414,0.105205443,-0.81129276,2247.095407,0.417283489,
gpt5.1,distractor1:reasoning3,-0.300202563,0.104502313,-2.87268822,2246.764347,0.004108141,**
gpt5.1,occlusion1:distractor1:reasoning1,0.080355452,0.10449752,0.768969947,2246.696416,0.441991979,
gpt5.1,occlusion1:distractor1:reasoning2,0.055352414,0.105205443,0.526136411,2247.095407,0.598845353,
gpt5.1,occlusion1:distractor1:reasoning3,-0.19313077,0.104502313,-1.848100434,2246.764347,0.064719155,*
,,,,,,,
gpt5.2,(Intercept),13.36908994,1.219064806,10.96667697,4.147238859,0.00032292,***
gpt5.2,occlusion1,-1.088256606,0.175032464,-6.21745579,115.8081912,8.25E-09,***
gpt5.2,distractor1,-1.126184903,0.175031505,-6.434183959,115.8056825,2.91E-09,***
gpt5.2,reasoning1,-2.35911658,0.109360228,-21.57197931,2247.947618,5.84E-94,***
gpt5.2,reasoning2,0.410541832,0.109684205,3.742943952,2248.083498,0.000186439,***
gpt5.2,reasoning3,1.088551163,0.109551242,9.936456626,2248.024921,8.46E-23,***
gpt5.2,occlusion1:distractor1,0.34035157,0.175031505,1.944516042,115.8056825,0.054258158,.
gpt5.2,occlusion1:reasoning1,0.66161658,0.109360228,6.04988295,2247.947618,1.69E-09,***
gpt5.2,occlusion1:reasoning2,-0.251375165,0.109684205,-2.291808243,2248.083498,0.022008761,*
gpt5.2,occlusion1:reasoning3,-0.289384497,0.109551242,-2.641544648,2248.024921,0.008310075,**
gpt5.2,distractor1:reasoning1,0.466211544,0.10936053,4.263069532,2247.947869,2.10E-05,***
gpt5.2,distractor1:reasoning2,-0.214694863,0.109683679,-1.957400278,2248.083434,0.050423996,.
gpt5.2,distractor1:reasoning3,-0.200046653,0.109551714,-1.826047686,2248.025519,0.067975661,.
gpt5.2,occlusion1:distractor1:reasoning1,0.06962179,0.10936053,0.6366263,2247.947869,0.524433109,
gpt5.2,occlusion1:distractor1:reasoning2,0.007194863,0.109683679,0.065596476,2248.083434,0.947704927,
gpt5.2,occlusion1:distractor1:reasoning3,-0.14078668,0.109551714,-1.285116184,2248.025519,0.198884073,
,,,,,,,
gemini2.5-flash,(Intercept),10.24391396,0.153679078,6.67E+01,1.16E+02,3.14E-94,***
gemini2.5-flash,occlusion1,-1.340734214,0.153679077,-8.72E+00,1.16E+02,2.30E-14,***
gemini2.5-flash,distractor1,-0.32352082,0.153679077,-2.105171554,115.8288416,0.037437591,*
gemini2.5-flash,reasoning1,2.583007579,0.150437172,1.72E+01,2.05E+03,7.65E-62,***
gemini2.5-flash,reasoning2,-1.180036108,0.128257925,-9.20E+00,2.03E+03,8.59E-20,***
gemini2.5-flash,reasoning3,-0.480754438,0.128399391,-3.744211211,2027.158662,0.000186006,***
gemini2.5-flash,occlusion1:distractor1,-0.020410394,0.153679077,-0.132811795,115.8288416,0.89457268,
gemini2.5-flash,occlusion1:reasoning1,1.069920892,0.150437172,7.112077952,2049.236061,1.57E-12,***
gemini2.5-flash,occlusion1:reasoning2,-0.421158095,0.128257925,-3.283680866,2028.904417,0.001042027,**
gemini2.5-flash,occlusion1:reasoning3,-0.527856016,0.128399391,-4.111047675,2027.158662,4.10E-05,***
gemini2.5-flash,distractor1:reasoning1,0.062069494,0.150437172,0.412594129,2049.236061,0.679947164,
gemini2.5-flash,distractor1:reasoning2,-0.143904653,0.128257925,-1.121994236,2028.904417,0.261997656,
gemini2.5-flash,distractor1:reasoning3,0.097779233,0.128399391,0.761524119,2027.158662,0.446432659,
gemini2.5-flash,occlusion1:distractor1:reasoning1,0.21608096,0.150437172,1.436353514,2049.236061,0.151054412,
gemini2.5-flash,occlusion1:distractor1:reasoning2,-0.094149675,0.128257925,-0.73406516,2028.904417,0.462993846,
gemini2.5-flash,occlusion1:distractor1:reasoning3,0.151582691,0.128399391,1.180556157,2027.158662,0.23791759,
,,,,,,,
gemini2.5-pro,(Intercept),9.995806698,0.169615162,5.89E+01,2.84E+01,3.27E-31,***
gemini2.5-pro,occlusion1,-1.111432016,0.152031094,-7.31E+00,1.16E+02,3.72E-11,***
gemini2.5-pro,distractor1,0.597194259,0.152031067,3.928106752,115.7106853,0.000146038,***
gemini2.5-pro,reasoning1,2.163456948,0.11738109,18.43105175,2180.060604,1.30E-70,***
gemini2.5-pro,reasoning2,-0.868680706,0.111466146,-7.79E+00,2.17E+03,1.00E-14,***
gemini2.5-pro,reasoning3,-0.623872139,0.111499675,-5.595282126,2171.26437,2.48E-08,***
gemini2.5-pro,occlusion1:distractor1,0.061803233,0.152031034,0.406517219,115.7108349,0.685113503,
gemini2.5-pro,occlusion1:reasoning1,0.419701394,0.117371068,3.575850501,2179.486986,0.000356691,***
gemini2.5-pro,occlusion1:reasoning2,-0.136069247,0.111465001,-1.220735165,2170.351095,0.222318914,
gemini2.5-pro,occlusion1:reasoning3,-0.123300092,0.111498458,-1.105845718,2171.18752,0.26891582,
gemini2.5-pro,distractor1:reasoning1,0.168879258,0.117370023,1.438861935,2179.436991,0.150333236,
gemini2.5-pro,distractor1:reasoning2,-0.157653585,0.111464767,-1.414380424,2170.337947,0.157393673,
gemini2.5-pro,distractor1:reasoning3,0.004204515,0.111498423,0.03770919,2171.186365,0.969923015,
gemini2.5-pro,occlusion1:distractor1:reasoning1,-0.148587743,0.117377798,-1.265893083,2179.896078,0.205686633,
gemini2.5-pro,occlusion1:distractor1:reasoning2,0.132364696,0.111465385,1.187495975,2170.376502,0.235161988,
gemini2.5-pro,occlusion1:distractor1:reasoning3,0.012928875,0.111499446,0.115954609,2171.252869,0.907699239,
,,,,,,,
gemini3-flash,(Intercept),13.07952837,0.160267744,8.16E+01,1.16E+02,2.62E-104,***
gemini3-flash,occlusion1,-0.421980754,0.160267744,-2.632973704,115.9934308,0.009617191,**
gemini3-flash,distractor1,0.377834197,0.160267744,2.35751867,115.9934308,0.020072409,*
gemini3-flash,reasoning1,-0.272170638,0.102221485,-2.662558045,2217.588177,0.007810958,**
gemini3-flash,reasoning2,0.26728964,0.100578909,2.657511815,2215.607481,0.007928533,**
gemini3-flash,reasoning3,0.196401876,0.100346598,1.957235018,2215.466639,0.050445246,.
gemini3-flash,occlusion1:distractor1,-0.119585657,0.160267744,-0.746161731,115.9934308,0.457079294,
gemini3-flash,occlusion1:reasoning1,0.560113675,0.102221485,5.479412416,2217.588177,4.75E-08,***
gemini3-flash,occlusion1:reasoning2,-0.104165211,0.100578909,-1.035656598,2215.607481,0.300475398,
gemini3-flash,occlusion1:reasoning3,-0.243949488,0.100346598,-2.431068839,2215.466639,0.015133193,*
gemini3-flash,distractor1:reasoning1,-0.388687648,0.102221485,-3.802406588,2217.588177,0.000147166,***
gemini3-flash,distractor1:reasoning2,0.121954454,0.100578909,1.21252512,2215.607481,0.225440705,
gemini3-flash,distractor1:reasoning3,0.068096045,0.100346598,0.678608405,2215.466639,0.497456893,
gemini3-flash,occlusion1:distractor1:reasoning1,0.221466403,0.102221485,2.166534777,2217.588177,0.030376538,*
gemini3-flash,occlusion1:distractor1:reasoning2,-0.120875036,0.100578909,-1.201793065,2215.607481,0.229572151,
gemini3-flash,occlusion1:distractor1:reasoning3,-0.176344586,0.100346598,-1.757354893,2215.466639,0.078995441,
,,,,,,,
gemini3-pro,(Intercept),9.327129429,0.335120903,2.78E+01,5.15E+00,8.24E-07,***
gemini3-pro,occlusion1,-0.34591475,0.136011502,-2.54327571,115.7887811,0.012300401,*
gemini3-pro,distractor1,-0.056914628,0.136009867,-0.418459551,115.783649,0.676386318,
gemini3-pro,reasoning1,1.133348301,0.072339016,1.57E+01,1.05E+03,7.13E-50,***
gemini3-pro,occlusion1:distractor1,0.018691074,0.136009891,0.137424372,115.7836297,0.890934061,
gemini3-pro,occlusion1:reasoning1,0.087866378,0.072336889,1.214682844,1049.884321,0.224760199,
gemini3-pro,distractor1:reasoning1,-0.014029089,0.072332233,-0.193953491,1049.851847,0.84624982,
gemini3-pro,occlusion1:distractor1:reasoning1,-0.017527798,0.072333635,-0.242318779,1049.864555,0.808580491,