seed,model,file_name,speaker_annotation,listener_file_name,listener_annotation,thinking_level/budget,temperature,max_output_tokens,exclusion,number_of_exclusion,listener_accuracy (before includding correct based on thought),listener_accuracy (after correction),other notes
3,gemini-2.5-pro,speaker-gemini-2.5-pro_1_medium_3,,listener-gemini-2.5-pro_1_medium_3,done,8192,1,NA,exp2_048.jpeg',,0.925,0.925,exp2_116 is ambiguous
3,gemini-2.5-pro,speaker-gemini-2.5-pro_1_high_3,,listener-gemini-2.5-pro_1_high_3,done,32768,1,NA,exp2_048.jpeg',,0.93277311,0.93277311,exp2_034: select the square filled with grey dots that does not have a thick border around it.
3,gemini-3-flash,speaker-gemini-3-flash_1_minimal_3,,listener-gemini-3-flash_1_minimal_3,done,minimal,1,NA,"exp2_003.jpeg', 'exp2_017.jpeg', 'exp2_048.jpeg', 'exp2_071.jpeg', 'exp2_074.jpeg', 'exp2_092.jpeg', 'exp2_098.jpeg', 'exp2_116.jpeg'",8,1,1,
3,gemini-3-flash,speaker-gemini-3-flash_1_low_3,,listener-gemini-3-flash_1_low_3,done,low,1,NA,exp2_001.jpeg',1,1,1,
3,gemini-3-flash,speaker-gemini-3-flash_1_medium_3,,listener-gemini-3-flash_1_medium_3,done,medium,1,NA,exp2_050.jpeg',1,1,1,
3,gemini-3-flash,speaker-gemini-3-flash_1_high_3,,listener-gemini-3-flash_1_high_3,done,high,1,NA,exp2_072.jpeg',1,1,1,
3,gemini-3-pro,speaker-gemini-3-pro_1_low_3,,listener-gemini-3-pro_1_low_3,done,low,1,NA,,0,0.98333333,0.99166667,one correct based on thoughts (exp2_078)
3,gemini-3-pro,speaker-gemini-3-pro_1_high_3,,listener-gemini-3-pro_1_high_3,done,high,1,NA,,0,1,1,
3,gpt-5.1,speaker-gpt-5.1_1_none_3,,listener-gpt-5.1_1_none_3,done,none,1,NA,exp2_071.jpeg',1,1,1,exp2_071: not a curtain
3,gpt-5.1,speaker-gpt-5.1_1_low_3,,listener-gpt-5.1_1_low_3,done,low,not supported,1024,"exp2_011.jpeg', 'exp2_059.jpeg', 'exp2_071.jpeg', 'exp2_082.jpeg', 'exp2_100.jpeg', 'exp2_113.jpeg', 'exp2_120.jpeg'",7,1,1,all excluded items: not behind the curtain
3,gpt-5.1,speaker-gpt-5.1_1_medium_3,,listener-gpt-5.1_1_medium_3,done,medium,not supported,1024,"exp2_003.jpeg', 'exp2_065.jpeg', 'exp2_068.jpeg', 'exp2_103.jpeg', 'exp2_120.jpeg'",5,0.99130435,0.99130435,all excluded items: not behind the curtain
3,gpt-5.1,speaker-gpt-5.1_1_high_3,,listener-gpt-5.1_4_high_3,done,high,not supported,1024,"exp2_003.jpeg', 'exp2_015.jpeg', 'exp2_093.jpeg', 'exp2_109.jpeg'",4,1,1,all excluded items: not behind the curtain
3,gpt-5.2,speaker-gpt-5.2_1_none_3,,listener-gpt-5.2_1_none_3,done,none,1,1024,exp2_071.jpeg',1,1,1,exp2_071: not a curtain
3,gpt-5.2,speaker-gpt-5.2_1_low_3,,listener-gpt-5.2_1_low_3,done,low,not supported,1024,"exp2_011.jpeg', 'exp2_059.jpeg', 'exp2_071.jpeg', 'exp2_082.jpeg', 'exp2_100.jpeg', 'exp2_113.jpeg', 'exp2_120.jpeg'",7,1,1,all excluded items: not behind the curtain
3,gpt-5.2,speaker-gpt-5.2_1_medium_3,,listener-gpt-5.2_1_medium_3,done,medium,not supported,1024,"exp2_003.jpeg', 'exp2_065.jpeg', 'exp2_068.jpeg', 'exp2_103.jpeg', 'exp2_120.jpeg'",5,1,1,all excluded items: not behind the curtain
3,gpt-5.2,speaker-gpt-5.2_1_high_3,,listener-gpt-5.2_1_high_3,done,high,not supported,1024,"exp2_003.jpeg', 'exp2_015.jpeg', 'exp2_093.jpeg', 'exp2_109.jpeg'",4,1,1,all excluded items: not behind the curtain
4,gemini-2.5-flash,speaker-gemini-2.5-flash_1_none_4,,listener-gemini-2.5-flash_1_none_4,done,0,1,NA,"exp2_001.jpeg', 'exp2_002.jpeg', 'exp2_003.jpeg', 'exp2_005.jpeg', 'exp2_009.jpeg', 'exp2_010.jpeg', 'exp2_012.jpeg', 'exp2_013.jpeg', 'exp2_016.jpeg', 'exp2_019.jpeg', 'exp2_020.jpeg', 'exp2_028.jpeg', 'exp2_029.jpeg', 'exp2_041.jpeg', 'exp2_044.jpeg', 'exp2_047.jpeg', 'exp2_048.jpeg', 'exp2_050.jpeg', 'exp2_053.jpeg', 'exp2_055.jpeg', 'exp2_058.jpeg', 'exp2_059.jpeg', 'exp2_060.jpeg', 'exp2_065.jpeg', 'exp2_068.jpeg', 'exp2_071.jpeg', 'exp2_072.jpeg', 'exp2_074.jpeg', 'exp2_083.jpeg', 'exp2_086.jpeg', 'exp2_087.jpeg', 'exp2_093.jpeg', 'exp2_095.jpeg', 'exp2_097.jpeg', 'exp2_098.jpeg', 'exp2_100.jpeg', 'exp2_101.jpeg', 'exp2_105.jpeg', 'exp2_108.jpeg', 'exp2_109.jpeg', 'exp2_110.jpeg', 'exp2_111.jpeg', 'exp2_112.jpeg', 'exp2_114.jpeg'",44,0.986842105,0.986842105,
4,gemini-2.5-flash,speaker-gemini-2.5-flash_1_low_4,,listener-gemini-2.5-flash_1_low_4,done,2048,1,NA,"exp2_035.jpeg', 'exp2_048.jpeg'",2,0.974576271,0.974576271,one wrong description (exp2_034)
4,gemini-2.5-flash,speaker-gemini-2.5-flash_1_medium_4,,listener-gemini-2.5-flash_1_medium_4,done,8192,1,NA,,0,0.975,0.983333333,"one wrong description (exp2_034); one correct based on thoughts (exp2_068); exp2_010: very verbose, mentioning irrelevant object: ""please select the square that has vertical grey and white stripes inside a solid red border. i can see a dotted red circle and some red curtains with question marks, so you'll be looking for something different from those."""
4,gemini-2.5-flash,speaker-gemini-2.5-flash_1_high_4,,listener-gemini-2.5-flash_1_high_4,done,24576,1,NA,"exp2_034.jpeg', 'exp2_090.jpeg'",2,0.949152542,0.957627119,"one correct baesd on thoughts (exp2_085), 075: speaker description: please select the checkered square that does not have a green border."
4,gemini-2.5-pro,speaker-gemini-2.5-pro_1_none_4,,listener-gemini-2.5-pro_1_none_4,done,128,1,NA,"exp2_002.jpeg', 'exp2_004.jpeg', 'exp2_007.jpeg', 'exp2_020.jpeg', 'exp2_034.jpeg', 'exp2_036.jpeg', 'exp2_046.jpeg', 'exp2_050.jpeg', 'exp2_057.jpeg', 'exp2_058.jpeg', 'exp2_059.jpeg', 'exp2_060.jpeg', 'exp2_066.jpeg', 'exp2_074.jpeg', 'exp2_089.jpeg', 'exp2_094.jpeg', 'exp2_097.jpeg', 'exp2_103.jpeg', 'exp2_115.jpeg'",8,0.673267327,0.673267327,
4,gemini-2.5-pro,speaker-gemini-2.5-pro_1_low_4,,listener-gemini-2.5-pro_1_low_4,done,2048,1,NA,,0,0.958333333,0.958333333,
4,gemini-2.5-pro,speaker-gemini-2.5-pro_1_medium_4,,listener-gemini-2.5-pro_1_medium_4,done,8192,1,NA,,,0.933333333,0.933333333,
4,gemini-2.5-pro,speaker-gemini-2.5-pro_1_high_4,,listener-gemini-2.5-pro_1_high_4,done,32768,1,NA,,,0.933333333,0.933333333,"exp2_034: ""select the square filled with grey dots that does not have a thick black border."""
4,gemini-3-flash,speaker-gemini-3-flash_1_minimal_4,,listener-gemini-3-flash_1_minimal_4,done,minimal,1,NA,"exp2_010.jpeg', 'exp2_017.jpeg', 'exp2_048.jpeg', 'exp2_071.jpeg', 'exp2_103.jpeg', 'exp2_104.jpeg', 'exp2_118.jpeg'",7,1,1,
4,gemini-3-flash,speaker-gemini-3-flash_1_low_4,,listener-gemini-3-flash_1_low_4,done,low,1,NA,"exp2_050.jpeg', 'exp2_103.jpeg', 'exp2_104.jpeg', 'exp2_116.jpeg'",4,1,1,
4,gemini-3-flash,speaker-gemini-3-flash_1_medium_4,,listener-gemini-3-flash_1_medium_4,done,medium,1,NA,,0,1,1,
4,gemini-3-flash,speaker-gemini-3-flash_1_high_4,,listener-gemini-3-flash_1_high_4,,high,1,NA,,,,,
4,gemini-3-pro,speaker-gemini-3-pro_1_low_4,,listener-gemini-3-pro_1_low_4,done,low,1,NA,"exp2_034.jpeg', 'exp2_042.jpeg', 'exp2_071.jpeg'",3,1,1,
4,gemini-3-pro,speaker-gemini-3-pro_1_high_4,,listener-gemini-3-pro_1_high_4,done,high,1,NA,exp2_072.jpeg',1,1,1,
4,gpt-5.1,speaker-gpt-5.1_1_none_4,,listener-gpt-5.1_1_none_4,done,none,1,NA,exp2_093.jpeg',1,0.991596639,0.991596639,exp2_093: not a curtain; exp2_034: ambiguous
4,gpt-5.1,speaker-gpt-5.1_1_low_4,,listener-gpt-5.1_1_low_4,done,low,not supported,1024,"exp2_026.jpeg', 'exp2_044.jpeg', 'exp2_050.jpeg', 'exp2_057.jpeg', 'exp2_072.jpeg', 'exp2_086.jpeg', 'exp2_100.jpeg', 'exp2_120.jpeg'",8,0.982142857,0.982142857,all excluded items: not behind the curtain
4,gpt-5.1,speaker-gpt-5.1_1_medium_4,,listener-gpt-5.1_1_medium_4,done,medium,not supported,1024,"exp2_097.jpeg', 'exp2_103.jpeg'",2,1,1,all excluded items: not behind the curtain
4,gpt-5.1,speaker-gpt-5.1_4_high_4,,listener-gpt-5.1_4_high_4,done,high,not supported,1024,exp2_044.jpeg',1,1,1,exp2_044: not a curtain
4,gpt-5.2,speaker-gpt-5.2_1_none_4,,listener-gpt-5.2_1_none_4,done,none,1,1024,exp2_093.jpeg',1,0.991596639,0.991596639,exp2_093: not behind the curtain; exp2_034: ambiguous
4,gpt-5.2,speaker-gpt-5.2_1_low_4,,listener-gpt-5.2_1_low_4,done,low,not supported,1024,"exp2_026.jpeg', 'exp2_044.jpeg', 'exp2_050.jpeg', 'exp2_057.jpeg', 'exp2_072.jpeg', 'exp2_086.jpeg', 'exp2_100.jpeg', 'exp2_120.jpeg'",8,1,1,all excluded items: not behind the curtain
4,gpt-5.2,speaker-gpt-5.2_1_medium_4,,listener-gpt-5.2_1_medium_4,done,medium,not supported,1024,"exp2_097.jpeg', 'exp2_103.jpeg'",2,1,1,all excluded items: not behind the curtain
4,gpt-5.2,speaker-gpt-5.2_1_high_4,,listener-gpt-5.2_1_high_4,done,high,not supported,1024,exp2_044.jpeg',1,1,1,exp2_044: not a curtain
5,gemini-2.5-flash,speaker-gemini-2.5-flash_1_none_5,,listener-gemini-2.5-flash_1_none_5,done,0,1,NA,"exp2_001.jpeg', 'exp2_009.jpeg', 'exp2_010.jpeg', 'exp2_013.jpeg', 'exp2_015.jpeg', 'exp2_018.jpeg', 'exp2_019.jpeg', 'exp2_022.jpeg', 'exp2_031.jpeg', 'exp2_034.jpeg', 'exp2_037.jpeg', 'exp2_038.jpeg', 'exp2_042.jpeg', 'exp2_044.jpeg', 'exp2_045.jpeg', 'exp2_048.jpeg', 'exp2_053.jpeg', 'exp2_056.jpeg', 'exp2_057.jpeg', 'exp2_059.jpeg', 'exp2_060.jpeg', 'exp2_065.jpeg', 'exp2_067.jpeg', 'exp2_069.jpeg', 'exp2_071.jpeg', 'exp2_072.jpeg', 'exp2_073.jpeg', 'exp2_077.jpeg', 'exp2_079.jpeg', 'exp2_082.jpeg', 'exp2_083.jpeg', 'exp2_091.jpeg', 'exp2_093.jpeg', 'exp2_097.jpeg', 'exp2_098.jpeg', 'exp2_105.jpeg', 'exp2_107.jpeg', 'exp2_112.jpeg', 'exp2_113.jpeg', 'exp2_116.jpeg', 'exp2_117.jpeg', 'exp2_120.jpeg'",42,0.987179487,0.987179487,"exp2_120 is flipped, but it is excluded because it uses relative position"
5,gemini-2.5-flash,speaker-gemini-2.5-flash_1_low_5,,listener-gemini-2.5-flash_1_low_5,done,2048,1,NA,"exp2_017.jpeg', 'exp2_048.jpeg'",2,0.966101695,0.966101695,
5,gemini-2.5-flash,speaker-gemini-2.5-flash_1_medium_5,,listener-gemini-2.5-flash_1_medium_5,done,8192,1,NA,"exp2_034.jpeg', 'exp2_058.jpeg'",2,0.966101695,0.974576271,one correct baesd on thoughts (exp2_007); exp2_058: please select the green circle filled with gray dots that is not behind a red curtain. (excluded); exp2_110 and exp2_120: incorrectly treated rows as columns and vice versa. currently treating them as incorrect-flipped
5,gemini-2.5-flash,speaker-gemini-2.5-flash_1_high_5,,listener-gemini-2.5-flash_1_high_5,done,24576,1,NA,exp2_034.jpeg',1,0.957983193,0.957983193,"one correct baesd on thoughts (exp2_034), but it is excluded because it uses relative position"
5,gemini-2.5-pro,speaker-gemini-2.5-pro_1_none_5,,listener-gemini-2.5-pro_1_none_5,done,128,1,NA,"exp2_002.jpeg', 'exp2_004.jpeg', 'exp2_005.jpeg', 'exp2_009.jpeg', 'exp2_020.jpeg', 'exp2_022.jpeg', 'exp2_034.jpeg', 'exp2_047.jpeg', 'exp2_053.jpeg', 'exp2_057.jpeg', 'exp2_059.jpeg', 'exp2_060.jpeg', 'exp2_066.jpeg', 'exp2_071.jpeg', 'exp2_089.jpeg', 'exp2_090.jpeg', 'exp2_106.jpeg', 'exp2_113.jpeg', 'exp2_115.jpeg'",19,0.752475248,,"exp2_002, exp2_034, exp2_090 incorrect and using relative position"
5,gemini-2.5-pro,speaker-gemini-2.5-pro_1_low_5,,listener-gemini-2.5-pro_1_low_5,done,2048,1,NA,,0,0.941666667,0.941666667,"exp2_061 is ambiguos (""Stripe"" refers to the target and one occluded -> the listener selected the occluded)"
5,gemini-2.5-pro,speaker-gemini-2.5-pro_1_medium_5,,listener-gemini-2.5-pro_1_medium_5,done,8192,1,NA,exp2_048.jpeg',1,0.941176471,0.941176471,
5,gemini-2.5-pro,speaker-gemini-2.5-pro_1_high_5,,listener-gemini-2.5-pro_1_high_5,done,32768,1,NA,exp2_048.jpeg',1,0.949579832,0.949579832,
5,gemini-3-flash,speaker-gemini-3-flash_1_minimal_5,,listener-gemini-3-flash_1_minimal_5,done,minimal,1,NA,"exp2_032.jpeg', 'exp2_038.jpeg', 'exp2_044.jpeg', 'exp2_047.jpeg', 'exp2_050.jpeg', 'exp2_093.jpeg', 'exp2_116.jpeg'",7,1,1,"exp2_116 is ambiguous and got wrong, but it is excluded because it mentions the dashed red box"
5,gemini-3-flash,speaker-gemini-3-flash_1_low_5,,listener-gemini-3-flash_1_low_5,done,low,1,NA,,0,1,1,
5,gemini-3-flash,speaker-gemini-3-flash_1_medium_5,,listener-gemini-3-flash_1_medium_5,done,medium,1,NA,,0,1,1,
5,gemini-3-flash,speaker-gemini-3-flash_1_high_5,,listener-gemini-3-flash_1_high_5,done,high,1,NA,"exp2_002.jpeg', 'exp2_116.jpeg'",2,1,1,
5,gemini-3-pro,speaker-gemini-3-pro_1_low_5,,listener-gemini-3-pro_1_low_5,done,low,1,NA,"exp2_002.jpeg', 'exp2_006.jpeg', 'exp2_013.jpeg', 'exp2_017.jpeg', 'exp2_025.jpeg', 'exp2_041.jpeg', 'exp2_044.jpeg', 'exp2_047.jpeg', 'exp2_071.jpeg'",9,1,1,
5,gemini-3-pro,speaker-gemini-3-pro_1_high_5,,listener-gemini-3-pro_1_high_5,done,high,1,NA,,,1,1,
5,gpt-5.1,speaker-gpt-5.1_1_none_5,,listener-gpt-5.1_1_none_5,done,none,1,NA,"exp2_034.jpeg', 'exp2_089.jpeg'",2,1,1,all excluded items: not behind the curtain
5,gpt-5.1,speaker-gpt-5.1_1_low_5,,listener-gpt-5.1_1_low_5,done,low,not supported,1024,"exp2_010.jpeg', 'exp2_072.jpeg', 'exp2_103.jpeg'",3,0.991452992,0.991452992,all excluded items: not behind the curtain
5,gpt-5.1,speaker-gpt-5.1_1_medium_5,,listener-gpt-5.1_1_medium_5,done,medium,not supported,1024,"exp2_010.jpeg', 'exp2_047.jpeg', 'exp2_050.jpeg', 'exp2_100.jpeg', 'exp2_116.jpeg'",5,0.991304348,0.991304348,all excluded items: not behind the curtain
5,gpt-5.1,speaker-gpt-5.1_1_high_5,,listener-gpt-5.1_1_high_5,done,high,not supported,1024,exp2_120.jpeg',1,1,1,exp2_120: not any red curtain
5,gpt-5.2,speaker-gpt-5.2_1_none_5,,listener-gpt-5.2_1_none_5,done,none,1,1024,"exp2_034.jpeg', 'exp2_089.jpeg'",2,0.974576271,0.974576271,all excluded items: not behind the curtain; exp2_116: ambiguous
5,gpt-5.2,speaker-gpt-5.2_1_low_5,,listener-gpt-5.2_1_low_5,done,low,not supported,1024,"exp2_010.jpeg', 'exp2_072.jpeg', 'exp2_103.jpeg'",3,1,1,all excluded items: not behind the curtain
5,gpt-5.2,speaker-gpt-5.2_1_medium_5,,listener-gpt-5.2_1_medium_5,done,medium,not supported,1024,"exp2_010.jpeg', 'exp2_047.jpeg', 'exp2_050.jpeg', 'exp2_100.jpeg', 'exp2_116.jpeg'",5,1,1,all excluded items: not behind the curtain
5,gpt-5.2,speaker-gpt-5.2_1_high_5,,listener-gpt-5.2_1_high_5,done,high,not supported,1024,exp2_120.jpeg',1,1,1,exp2_120: not any red curtain