image_file,condition,adj1,adj2,adj1not,adj2not,feature1,feature2,num_objs1,num_objs2,position,position_word,obj1shape,obj1color,obj1pattern,obj2shape,obj2color,obj2pattern,obj3shape,obj3color,obj3pattern,question_speaker,question_free_speaker,question_listener_1,question_listener_2
cond1_001.jpeg,cond1,green,circle,blue,square,color,shape,3,3,1,leftmost,circle,green,checked,circle,green,checked,circle,green,checked,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'green' or 'circle'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?
cond1_002.jpeg,cond1,green,spotted,blue,striped,color,pattern,3,3,2,middle,triangle,green,spotted,triangle,green,spotted,triangle,green,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'green' or 'spotted'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?
cond1_003.jpeg,cond1,circle,spotted,square,striped,shape,pattern,3,3,2,middle,circle,red,spotted,circle,red,spotted,circle,red,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'circle' or 'spotted'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?
cond1_004.jpeg,cond1,circle,striped,square,spotted,shape,pattern,3,3,2,middle,circle,red,striped,circle,red,striped,circle,red,striped,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'circle' or 'striped'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?
cond1_005.jpeg,cond1,square,striped,circle,spotted,shape,pattern,3,3,1,leftmost,square,red,striped,square,red,striped,square,red,striped,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'square' or 'striped'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?
cond1_006.jpeg,cond1,striped,green,spotted,blue,pattern,color,3,3,3,rightmost,triangle,green,striped,triangle,green,striped,triangle,green,striped,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'striped' or 'green'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?
cond1_007.jpeg,cond1,spotted,circle,striped,square,pattern,shape,3,3,1,leftmost,circle,red,spotted,circle,red,spotted,circle,red,spotted,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'spotted' or 'circle'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?
cond1_008.jpeg,cond1,blue,square,green,circle,color,shape,3,3,3,rightmost,square,blue,checked,square,blue,checked,square,blue,checked,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'blue' or 'square'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?
cond1_009.jpeg,cond1,circle,green,square,blue,shape,color,3,3,3,rightmost,circle,green,checked,circle,green,checked,circle,green,checked,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'circle' or 'green'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?
cond1_010.jpeg,cond1,striped,square,spotted,circle,pattern,shape,3,3,2,middle,square,red,striped,square,red,striped,square,red,striped,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'striped' or 'square'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?
cond1_011.jpeg,cond1,striped,square,spotted,circle,pattern,shape,3,3,2,middle,square,red,striped,square,red,striped,square,red,striped,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'striped' or 'square'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?
cond1_012.jpeg,cond1,striped,square,spotted,circle,pattern,shape,3,3,2,middle,square,red,striped,square,red,striped,square,red,striped,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'striped' or 'square'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?
cond1_013.jpeg,cond1,spotted,square,striped,circle,pattern,shape,3,3,3,rightmost,square,red,spotted,square,red,spotted,square,red,spotted,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'spotted' or 'square'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?
cond1_014.jpeg,cond1,circle,spotted,square,striped,shape,pattern,3,3,2,middle,circle,red,spotted,circle,red,spotted,circle,red,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'circle' or 'spotted'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?
cond1_015.jpeg,cond1,green,spotted,blue,striped,color,pattern,3,3,2,middle,triangle,green,spotted,triangle,green,spotted,triangle,green,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'green' or 'spotted'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?
cond1_016.jpeg,cond1,green,circle,blue,square,color,shape,3,3,1,leftmost,circle,green,checked,circle,green,checked,circle,green,checked,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'green' or 'circle'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?
cond1_017.jpeg,cond1,circle,striped,square,spotted,shape,pattern,3,3,3,rightmost,circle,red,striped,circle,red,striped,circle,red,striped,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'circle' or 'striped'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?
cond1_018.jpeg,cond1,circle,green,square,blue,shape,color,3,3,2,middle,circle,green,checked,circle,green,checked,circle,green,checked,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'circle' or 'green'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?
cond1_019.jpeg,cond1,green,spotted,blue,striped,color,pattern,3,3,2,middle,triangle,green,spotted,triangle,green,spotted,triangle,green,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'green' or 'spotted'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?
cond1_020.jpeg,cond1,spotted,blue,striped,green,pattern,color,3,3,2,middle,triangle,blue,spotted,triangle,blue,spotted,triangle,blue,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'spotted' or 'blue'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?
cond1_021.jpeg,cond1,green,circle,blue,square,color,shape,3,3,3,rightmost,circle,green,checked,circle,green,checked,circle,green,checked,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'green' or 'circle'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?
cond1_022.jpeg,cond1,striped,circle,spotted,square,pattern,shape,3,3,1,leftmost,circle,red,striped,circle,red,striped,circle,red,striped,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'striped' or 'circle'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?
cond1_023.jpeg,cond1,striped,square,spotted,circle,pattern,shape,3,3,1,leftmost,square,red,striped,square,red,striped,square,red,striped,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'striped' or 'square'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?
cond1_024.jpeg,cond1,circle,blue,square,green,shape,color,3,3,1,leftmost,circle,blue,checked,circle,blue,checked,circle,blue,checked,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'circle' or 'blue'?","Imagine you are talking to someone and you want to refer to the leftmost object. 
Your job is to decide what utterance to use. The objects might be arranged differently for the other person, so please do not use degenerate spatial locations and the label. The target image is highlighted by a dashed red box that only you can see.
What will you say?",Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?
